| Map | Level 0 | Baba Is You | 8 | Discord Collective |
| Map | Level 1 | Where Do I Go? | 19 | Discord Collective |
| Map | Level 2 | Now What Is This? | 22 | Discord Collective |
| Map | Level 3 | Out of Reach | 38 | Discord Collective |
| Map | Level 4 | Still Out of Reach | 31 | Discord Collective |
| Map | Level 5 | Volcano | 43 | Discord Collective |
| Map | Level 6 | Off Limits | 15 | Discord Collective |
| Map | Level 7 | Grass Yard | 54 | Discord Collective |
| Map | Level 8 | Slideshow | 18 | Discord Collective |
| Map | Level 9 | Fragile Existence | 125 | Discord Collective |
| Map | Level 9 | Fragile Existence, LEVEL IS BABA | 40 | Discord Collective |
| Map | Level 10 | Hostile Environment | 117 | Discord Collective |
| Map | Level 10 | Hostile Environment, LEVEL IS FLAG | 148 | Discord Collective |
| Map | Level Finale | A Way Out? | 184 | Discord Collective |
| Map | Level Finale | A Way Out?, FLAG IS END | 203 | Discord Collective |
| Map | Level ? | ? | 21 | Discord Collective |
| 1. The Lake | Level Lake-1 | Icy Waters | 32 | Discord Collective |
| 1. The Lake | Level Lake-2 | Turns | 55 | Discord Collective |
| 1. The Lake | Level Lake-3 | Affection | 17 | Discord Collective |
| 1. The Lake | Level Lake-4 | Pillar Yard | 56 | Discord Collective |
| 1. The Lake | Level Lake-5 | Brick Wall | 16 | Discord Collective |
| 1. The Lake | Level Lake-6 | Lock | 66 | Discord Collective |
| 1. The Lake | Level Lake-7 | Novice Locksmith | 57 | Discord Collective |
| 1. The Lake | Level Lake-8 | Locked In | 44 | Discord Collective |
| 1. The Lake | Level Lake-9 | Changeless | 26 | Discord Collective |
| 1. The Lake | Level Lake-10 | Two Doors | 46 | Discord Collective |
| 1. The Lake | Level Lake-11 | Jelly Throne | 52 | Discord Collective |
| 1. The Lake | Level Lake-12 | Crab Storage | 79 | Discord Collective |
| 1. The Lake | Level Lake-13 | Burglary | 60 | Discord Collective |
| 1. The Lake | Level Lake-Extra 1 | Submerged Ruins | 63 | Discord Collective |
| 1. The Lake | Level Lake-Extra 2 | Sunken Temple | 122 | Discord Collective |
| 2. Solitary Island | Level Island-0 | Poem | 37 | Discord Collective |
| 2. Solitary Island | Level Island-1 | Float | 29 | Discord Collective |
| 2. Solitary Island | Level Island-2 | Warm River | 22 | Discord Collective |
| 2. Solitary Island | Level Island-3 | Bridge Building | 27 | Discord Collective |
| 2. Solitary Island | Level Island-4 | Bridge Building? | 22 | Discord Collective |
| 2. Solitary Island | Level Island-5 | Victory Spring | 62 | Discord Collective |
| 2. Solitary Island | Level Island-6 | Assembly Team | 37 | Discord Collective |
| 2. Solitary Island | Level Island-7 | Catch the Thief! | 84 | Discord Collective |
| 2. Solitary Island | Level Island-8 | Tiny Pond | 84 | Discord Collective |
| 2. Solitary Island | Level Island-9 | Research Facility | 65 | Discord Collective |
| 2. Solitary Island | Level Island-10 | Wireless Connection | 68 | Discord Collective |
| 2. Solitary Island | Level Island-11 | Prison | 92 | Discord Collective |
| 2. Solitary Island | Level Island-Extra 1 | Boiling River | 49 | Discord Collective |
| 2. Solitary Island | Level Island-Extra 2 | ...Bridges? | 32 | Discord Collective |
| 2. Solitary Island | Level Island-Extra 3 | Tiny Isle | 97 | Discord Collective |
| 2. Solitary Island | Level Island-Extra 4 | Dim Signal | 112 | Discord Collective |
| 2. Solitary Island | Level Island-Extra 5 | Dungeon | 51 | Discord Collective |
| 2. Solitary Island | Level Island-Extra 6 | Evaporating River | 80 | Discord Collective |
| 3. Temple Ruins | Level Ruins-1 | Fragility | 81 | Discord Collective |
| 3. Temple Ruins | Level Ruins-2 | Tunnel Vision | 47 | Discord Collective |
| 3. Temple Ruins | Level Ruins-3 | A Present for You | 61 | Discord Collective |
| 3. Temple Ruins | Level Ruins-4 | Unreachable Shores | 105 | Discord Collective |
| 3. Temple Ruins | Level Ruins-5 | But Where's the Key | 157 | Discord Collective |
| 3. Temple Ruins | Level Ruins-6 | Love is Out There | 95 | Discord Collective |
| 3. Temple Ruins | Level Ruins-7 | Perilous Gang | 81 | Discord Collective |
| 3. Temple Ruins | Level Ruins-8 | Double Moat | 82 | Discord Collective |
| 3. Temple Ruins | Level Ruins-9 | Walls of Gold | 77 | Discord Collective |
| 3. Temple Ruins | Level Ruins-Extra 1 | Further Fields | 78 | Discord Collective |
| 4. Forest of Fall | Level Fall-1 | Hop | 47 | Discord Collective |
| 4. Forest of Fall | Level Fall-2 | Grand Stream | 102 | Discord Collective |
| 4. Forest of Fall | Level Fall-3 | Rocky Road | 24 | Discord Collective |
| 4. Forest of Fall | Level Fall-4 | Telephone | 51 | Discord Collective |
| 4. Forest of Fall | Level Fall-5 | Haunt | 64 | Discord Collective |
| 4. Forest of Fall | Level Fall-6 | Crate Square | 42 | Discord Collective |
| 4. Forest of Fall | Level Fall-7 | Ghost Friend | 76 | Discord Collective |
| 4. Forest of Fall | Level Fall-8 | Ghost Guard | 100? | Discord Collective |
| 4. Forest of Fall | Level Fall-8 | Ghost Guard | 114 | Discord Collective |
| 4. Forest of Fall | Level Fall-9 | Leaf Chamber | 80 | Discord Collective |
| 4. Forest of Fall | Level Fall-10 | Not There | 51 | Discord Collective |
| 4. Forest of Fall | Level Fall-11 | Catch | 103 | Discord Collective |
| 4. Forest of Fall | Level Fall-12 | Dead End | 57 | Discord Collective |
| 4. Forest of Fall | Level Fall-A | Literacy | 46 | Discord Collective |
| 4. Forest of Fall | Level Fall-B | Broken Playground | 101 | Discord Collective |
| 4. Forest of Fall | Level Fall-C | Fetching | 88 | Discord Collective |
| 4. Forest of Fall | Level Fall-D | Scenic Pond | 135 | Discord Collective |
| 4. Forest of Fall | Level Fall-E | Skeletal Door | 66 | Discord Collective |
| 4. Forest of Fall | Level Fall-Extra 1 | Jump | 69 | Discord Collective |
| 4. Forest of Fall | Level Fall-Extra 2 | Even Less There | 66 | Discord Collective |
| 4. Forest of Fall | Level Fall-Extra 3 | Deep Pool | 91 | Discord Collective |
| 5. Deep Forest | Level Forest-1 | Renovating | 89 | Discord Collective |
| 5. Deep Forest | Level Forest-2 | Toolshed | 111 | Discord Collective |
| 5. Deep Forest | Level Forest-3 | Keep Out! | 127 | Discord Collective |
| 5. Deep Forest | Level Forest-4 | Baba Doesn't Respond | 123 | Discord Collective |
| 5. Deep Forest | Level Forest-5 | Patrol | 69 | Discord Collective |
| 5. Deep Forest | Level Forest-6 | Canyon | 126 | Discord Collective |
| 5. Deep Forest | Level Forest-7 | Concrete Goals | 44 | Discord Collective |
| 5. Deep Forest | Level Forest-8 | Victory In The Open | 99 | Discord Collective |
| 5. Deep Forest | Level Forest-9 | Moving Floor | 104 | Discord Collective |
| 5. Deep Forest | Level Forest-10 | Lovely House | 66 | Discord Collective |
| 5. Deep Forest | Level Forest-11 | Supermarket | 87 | Discord Collective |
| 5. Deep Forest | Level Forest-12 | Lock the Door | 103 | Discord Collective |
| 5. Deep Forest | Level Forest-13 | Factory | 117 | Discord Collective |
| 5. Deep Forest | Level Forest-14 | Tiny Pasture | 77 | Discord Collective |
| 5. Deep Forest | Level Forest-A | Nearly | 12 | Discord Collective |
| 5. Deep Forest | Level Forest-B | Not Quite | 19 | Discord Collective |
| 5. Deep Forest | Level Forest-C | Passing Through | 99 | Discord Collective |
| 5. Deep Forest | Level Forest-D | Salvage | 96 | Discord Collective |
| 5. Deep Forest | Level Forest-E | Insulation | 75 | Discord Collective |
| 5. Deep Forest | Level Forest-Extra 1 | Crumbling Floor | 108 | Discord Collective |
| 5. Deep Forest | Level Forest-Extra 2 | Skull House | 61 | Discord Collective |
| 6. Rocket Trip | Level Space-1 | Empty | 17 | Discord Collective |
| 6. Rocket Trip | Level Space-2 | Lonely Flag | 41 | Discord Collective |
| 6. Rocket Trip | Level Space-3 | Babas Are You | 46 | Discord Collective |
| 6. Rocket Trip | Level Space-4 | Please Hold My Key | 94 | Discord Collective |
| 6. Rocket Trip | Level Space-5 | Horror Story | 25 | Discord Collective |
| 6. Rocket Trip | Level Space-6 | Aiming High | 105 | Discord Collective |
| 6. Rocket Trip | Level Space-7 | Trio | 123 | Discord Collective |
| 6. Rocket Trip | Level Space-8 | Bottleneck | 94 | Discord Collective |
| 6. Rocket Trip | Level Space-9 | Platformer | 193 | Discord Collective |
| 6. Rocket Trip | Level Space-10 | The Pit | 90 | Discord Collective |
| 6. Rocket Trip | Level Space-11 | Heavy Words | 135 | Discord Collective |
| 6. Rocket Trip | Level Space-12 | Guardians | 193 | Discord Collective |
| 6. Rocket Trip | Level Space-13 | Sky Hold | 114 | Discord Collective |
| 6. Rocket Trip | Level Space-Extra 1 | Existential Crisis | 59 | Discord Collective |
| 6. Rocket Trip | Level Space-Extra 2 | Heavy Cloud | 165 | Discord Collective |
| 7. Flower Garden | Level Garden-1 | Condition | 64 | Discord Collective |
| 7. Flower Garden | Level Garden-2 | Thicket | 62 | Discord Collective |
| 7. Flower Garden | Level Garden-3 | Sorting Facility | 75 | Discord Collective |
| 7. Flower Garden | Level Garden-4 | Relaxing Spot | 71 | Discord Collective |
| 7. Flower Garden | Level Garden-5 | Maritime Adventures | 94 | Discord Collective |
| 7. Flower Garden | Level Garden-6 | Ruined Orchard | 163 | Discord Collective |
| 7. Flower Garden | Level Garden-7 | Blockade | 196 | Discord Collective |
| 7. Flower Garden | Level Garden-8 | Jaywalkers United | 85 | Discord Collective |
